,_Route_ID                 --Route Name,_#Trips,EXISTING_Miles,_Hours,_#Trips,NO-BUILD_Miles,_Hours,_#Trips,BUILD_Miles,_Hours
145,652&T                    --Holmes HS #8 AM-Holmes HS #8,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
146,67-348&L                 --67-Crosstown: Forest Park -,12,204.34,11.02,0,0.00,0.00,0,0.00,0.00
147,67-362&L                 --67-Crosstown: Forest Park -,0,0.00,0.00,12,202.37,11.02,0,0.00,0.00
148,67-367&L                 --67-Crosstown: Forest Park -,0,0.00,0.00,0,0.00,0.00,12,202.37,11.02
149,7&T                      --7-Madison Ave/Latonia,9,55.00,5.55,9,55.00,5.55,9,55.00,5.55
150,71X-350&C                --71X-Kings Island Express,7,167.66,5.45,0,0.00,0.00,0,0.00,0.00
151,71X-364&C                --71X-Kings Island Express,0,0.00,0.00,7,167.66,5.45,7,167.66,5.45
152,72-349&E                 --72-Kings Island Direct,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
153,74X-349&E                --74X-Colerain Express,6,82.94,4.10,0,0.00,0.00,0,0.00,0.00
154,74X-363&E                --74X-Colerain Express,0,0.00,0.00,6,82.94,4.10,6,82.94,4.10
155,751&T                    --Holmes HS #7 PM-Holmes HS #7,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
156,752&T                    --Holmes HS #9 PM-Holmes HS #9,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
157,75X-349&E                --75X-Anderson Express,3,31.10,1.37,0,0.00,0.00,0,0.00,0.00
158,75X-363&E                --75X-Anderson Express,0,0.00,0.00,3,31.10,1.37,3,31.10,1.37
159,77-348&L                 --77-Delhi - Commuter,6,67.63,3.65,0,0.00,0.00,0,0.00,0.00
160,77-362&L                 --77-Delhi - Sayler Park,0,0.00,0.00,15,213.40,9.80,0,0.00,0.00
161,77-367&L                 --77-Delhi - Sayler Park,0,0.00,0.00,0,0.00,0.00,15,213.40,9.80
162,78-348&L                 --78-Springdale Vine - Lincoln,29,469.61,34.00,0,0.00,0.00,0,0.00,0.00
163,78-362&L                 --78-Vine Street,0,0.00,0.00,20,315.57,23.18,0,0.00,0.00
164,78-367&L                 --78-Vine Street,0,0.00,0.00,0,0.00,0.00,20,315.57,23.18
165,8&T                      --8-Eastern Ave/Crestview Hill,10,126.62,10.83,10,126.62,10.83,10,126.62,10.83
166,81-348&L                 --81-Mt. Washington - Commuter,2,21.63,1.22,0,0.00,0.00,0,0.00,0.00
167,81-362&L                 --81-Mt. Washington - Commuter,0,0.00,0.00,2,21.63,1.22,0,0.00,0.00
168,81-367&L                 --81-Mt. Washington - Commuter,0,0.00,0.00,0,0.00,0.00,2,21.63,1.22
169,82X-350&C                --82X-Eastgate Express,4,54.99,2.30,0,0.00,0.00,0,0.00,0.00
170,82X-364&C                --82X-Eastgate Express,0,0.00,0.00,4,54.99,2.30,4,54.99,2.30
171,851&T                    --Holmes HS #4 PM-Holmes HS #4,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
172,888&T                    --KCJ-Kenton County Jail,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
173,BRTH-367&L               --BRTH-Hamilton Avenue BRT,0,0.00,0.00,0,0.00,0.00,57,693.49,50.65
174,BRTR-362&L               --BRTR-Reading Road BRT,0,0.00,0.00,55,462.73,30.25,0,0.00,0.00
175,BRTR-367&L               --BRTR-Reading Road BRT,0,0.00,0.00,0,0.00,0.00,55,462.73,30.25
176,M+-348&L                 --M+-MetroPlus,18,227.00,18.43,0,0.00,0.00,0,0.00,0.00
177,Total    915     11099.57       755.86   1020     12154,.43,832.85   1,096     12448,.24,852.01,,,,
